id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
910859153551768657,Amazing terrace + GYM in front of the park.,355750680,Mexican Homes,,Cuauhtémoc,19.4143771,-99.17071999999999,Entire home/apt,3504,2,26,2024-06-18,2.13,8,320,25,
908169528839109067,Recámara con vista al monumento,63943003,Maii,,Cuauhtémoc,19.43574,-99.15135,Private room,1611,1,0,,,1,365,0,
910885716095340583,Room w/Balcony in Condesa,124743956,Arturo,,Cuauhtémoc,19.4030242,-99.1708281,Private room,329,1,33,2024-06-07,2.59,8,177,30,
910906195032263562,VH |  20 pax  in Condesa near parks. Terrace | 367,22758914,Virtual,,Cuauhtémoc,19.4070512,-99.1726664,Entire home/apt,,1,5,2024-01-15,0.50,3,291,5,
912043028420564865,"Urban Oasis with office, gym",333035396,Clau,,Álvaro Obregón,19.38413350411173,-99.19711307429519,Entire home/apt,681,1,64,2024-06-22,5.07,134,353,62,
910917088536890245,Céntrico dpto. en CDMX,342962056,Dan,,Benito Juárez,19.388803486142578,-99.14208244532347,Entire home/apt,1200,1,27,2024-06-23,2.13,4,168,26,
912256175779417628,4. Habitación cerca del Ángel,513191084,Diego Armando,,Cuauhtémoc,19.43181,-99.167656,Private room,599,1,1,2023-06-25,0.08,11,331,0,
912263486504434260,Habitación con baño roma sur,64059986,Eva Polette,,Cuauhtémoc,19.40728297193347,-99.16135434656125,Private room,495,1,14,2023-12-09,1.23,13,360,14,
910959486670889107,Apartamento Interior Y Cómodo,518619984,Yoloxochilt,,Venustiano Carranza,19.4414109,-99.0926959,Entire home/apt,413,1,42,2024-06-08,3.35,2,260,41,
912278260546748805,Hermoso y cómodo Loft Residencial Carso Toreo,120820730,Fernanda,,Miguel Hidalgo,19.4481847069338,-99.21978905797005,Entire home/apt,,2,22,2024-06-16,1.78,1,1,21,
910974050681751390,Comfortable Accommodation in Colonia Condesa I 202,245618000,Alejandra,,Cuauhtémoc,19.40839,-99.17478,Entire home/apt,1684,1,43,2024-06-16,3.61,100,102,43,
912282968568576594,Family Apartment in the heart Condesa,521411591,Pepo,,Cuauhtémoc,19.41128,-99.17186,Entire home/apt,1682,1,30,2024-06-12,2.62,3,251,30,
910986273643676657,Comfortable Accommodation in Colonia Condesa I 302,245618000,Alejandra,,Cuauhtémoc,19.40744318363394,-99.1728887242912,Entire home/apt,1280,1,24,2024-06-23,2.11,100,100,24,
912296673930711231,Habitación cerca del Foro Sol,488131426,Leticia,,Iztacalco,19.39303,-99.08679,Private room,1200,2,3,2024-02-26,0.29,1,365,3,
911005364343293741,Mini departamento céntrico,247124094,Ofelia,,Benito Juárez,19.36983,-99.14738,Entire home/apt,710,1,7,2024-04-21,0.69,1,267,7,
911008805005479759,Casa del Chef Charles Hab 2,518182254,Juan Antonio,,Álvaro Obregón,19.36603623076318,-99.23394318836061,Private room,390,1,1,2023-09-09,0.10,2,365,1,
912300776461200546,Cuartito in Roma,517584654,Alejandro,,Cuauhtémoc,19.41439,-99.15701,Private room,,1,0,,,3,365,0,
912357336191772140,Casa H236,517874307,Eneas,,Coyoacán,19.30867,-99.15044,Private room,,1,5,2024-02-25,0.62,2,365,5,
911041702651349916,Linda habitación,63677292,Brenda,,Cuauhtémoc,19.4077184,-99.16038309999999,Private room,450,1,2,2024-02-26,0.41,8,265,2,
911043904363192004,Recamara con baño privado Roma S,63677292,Brenda,,Cuauhtémoc,19.40742295832462,-99.16044866018949,Private room,519,1,8,2023-11-05,0.65,8,347,6,
911123448437250279,Comfortable Accomodation in Colonia Condesa I 402,245618000,Alejandra,,Cuauhtémoc,19.40878906364976,-99.17299579325972,Entire home/apt,1463,1,58,2024-06-23,4.89,100,101,58,
912377953876189000,Nuevo apartamento Hares Polanco,113825849,Marisol,,Miguel Hidalgo,19.43749,-99.17832,Entire home/apt,2099,2,10,2024-06-19,0.81,4,335,9,
911167433859817738,Cómodo y céntrico,147798318,Elizabeth,,Cuauhtémoc,19.42793,-99.13754,Private room,342,1,0,,,2,362,0,
911450112308723951,Casa Hernández 2 Tradición familiar,441960288,Jose Enrique,,Iztapalapa,19.391363914727975,-99.05124876648188,Private room,600,2,5,2024-03-18,0.49,2,88,5,
912403550209848440,Alegría (Casa amarilla),378360224,Enrique,,Miguel Hidalgo,19.447812194722985,-99.19186418382327,Entire home/apt,500,1,35,2024-06-14,3.15,8,359,35,
911536426639869936,Departamento amarillo,519411193,Cruz Antonio,,Cuauhtémoc,19.451983,-99.1322873,Entire home/apt,1200,1,2,2023-10-30,0.20,1,365,2,
912405867755126189,Luxury loft for Work & Travel near Reforma w/300MB,661767,Claudio,,Cuauhtémoc,19.43094,-99.16224,Entire home/apt,1080,2,22,2024-03-01,1.77,1,354,20,
911591797968448937,Comfortable Accommodation in Colonia Condesa I 502,245618000,Alejandra,,Cuauhtémoc,19.407121347697743,-99.17330196960006,Entire home/apt,1317,1,36,2024-06-09,2.98,100,90,36,
912409343733491779,Elegant APT Art Deco Retreat in Roma Norte CDMX,499836247,Yosef,,Cuauhtémoc,19.414209,-99.1622853,Entire home/apt,1557,1,5,2024-03-01,0.49,15,241,5,
911594435838487647,Casita en el corazón de Coyoacán,518404548,Xuna,,Coyoacán,19.349199239987737,-99.17492093732507,Entire home/apt,750,2,7,2023-08-28,0.56,1,146,4,
912417878906196476,A very special place in Roma N,6753519,Ilse Y Diego,,Cuauhtémoc,19.41264851407084,-99.1582309712898,Entire home/apt,921,4,11,2024-02-25,0.87,4,18,8,
912427939386059815,"Departamento cómodo con baño privado, bien ubicado",519102011,Ezequiel,,Benito Juárez,19.38139,-99.14618,Private room,331,1,21,2024-05-21,1.77,1,356,21,
911602842012258489,Cute apartment Downtown Mexico City,311642374,Alonso,,Cuauhtémoc,19.4309048,-99.1511067,Entire home/apt,950,1,29,2024-06-24,2.52,3,327,29,
